,City,Country,Population (2024),Population (2023),Growth Rate
553,Marrakech,Morocco,1067172,1049690,0.0167
554,Qujing,China,1066897,1038964,0.0269
555,Yueyang,China,1064166,1048889,0.0146
556,Ilorin,Nigeria,1063713,1030498,0.0322
557,Tampico,Mexico,1062567,1047251,0.0146
558,Antwerp,Belgium,1061089,1057215,0.0037
559,Teresina,Brazil,1059657,1050459,0.0088
560,Guiping,China,1055921,1020399,0.0348
561,Warangal,India,1055604,1031090,0.0238
562,Changwon,South Korea,1055373,1054442,0.0009
563,Padang,Indonesia,1052849,1033645,0.0186
564,Saltillo,Mexico,1050320,1034126,0.0157
565,Xintai,China,1049486,1023756,0.0251
566,Cancun,Mexico,1045005,1022604,0.0219
567,Cebu City,Philippines,1042613,1024945,0.0172
568,San Miguel De Tucuman,Argentina,1039226,1026767,0.0121
569,Hamah,Syria,1034498,995747,0.0389
570,Acapulco De Juarez,Mexico,1032772,1018976,0.0135
571,Warri,Nigeria,1031425,986921,0.0451
572,Kayseri,Turkey,1025507,1013240,0.0121
573,Chengde,China,1024521,993097,0.0316
574,Owerri,Nigeria,1022922,983352,0.0402
575,Rotterdam,Netherlands,1021919,1018012,0.0038
576,Pingxiang Jiangxi,China,1021575,999721,0.0219
577,Zhucheng,China,1019600,991208,0.0286
578,Songkhla,Thailand,1017784,1005007,0.0127
579,Valparaiso,Chile,1016585,1008599,0.0079
580,Dehradun,India,1016402,991876,0.0247
581,Nonthaburi,Thailand,1013672,1000947,0.0127
582,Leiyang,China,1013191,978327,0.0356
583,Dushanbe,Tajikistan,1012794,986899,0.0262
584,Nampula,Mozambique,1012582,969322,0.0446
585,Misratah,Libya,1011119,984193,0.0274
586,Krasnodar,Russia,1010552,1001155,0.0094
587,Laiwu,China,1009727,986248,0.0238
588,Bordeaux,France,1009594,1000475,0.0091
589,Jixi Heilongjiang,China,1008989,993175,0.0159
590,San Pedro Sula,Honduras,1008220,982021,0.0267
591,Odesa,Ukraine,1007596,1007716,-0.0001
592,Jiujiang,China,1004247,982777,0.0218
593,Lubango,Angola,1003016,958548,0.0464
594,Morelia,Mexico,1002461,988744,0.0139
595,Jos,Nigeria,1001155,970129,0.032
596,Sylhet,Bangladesh,999374,964291,0.0364
597,Agadir,Morocco,998146,979248,0.0193
598,Volgograd,Russia,993352,995078,-0.0017
599,Mudanjiang,China,992414,975348,0.0175
600,Jacksonville,United States,990931,981125,0.01
601,Guigang,China,990310,967428,0.0237
602,Fort Worth,United States,989842,973275,0.017
603,Najaf,Iraq,987814,958487,0.0306
604,Bangui,Central African Republic,985965,958335,0.0288
605,Rajshahi,Bangladesh,983707,961991,0.0226
606,Hengshui,China,983694,955663,0.0293
607,Austin,United States,983126,978786,0.0044
608,Jerusalem,Israel,983097,969804,0.0137
609,Zhangzhou,China,980054,955519,0.0257
610,Xinyu,China,979303,952278,0.0284
611,Linfen,China,978614,951822,0.0281
612,Tianmen,China,978317,953768,0.0257
613,Ciudad Guayana,Venezuela,978202,964266,0.0145
614,Zamboanga City,Philippines,977081,960349,0.0174
615,Yangjiang,China,976606,956079,0.0215
616,Taiz,Yemen,974518,940600,0.0361
617,Cucuta,Colombia,972485,963045,0.0098
618,Arequipa,Peru,971296,958998,0.0128
619,Liling,China,970907,936997,0.0362
620,Antipolo,Philippines,968288,946653,0.0229
621,Veracruz,Mexico,968070,955226,0.0134
622,Reynosa,Mexico,967627,951417,0.017
623,Khulna,Bangladesh,965483,955104,0.0109
624,Deyang,China,963160,939166,0.0255
625,Pathum Thani,Thailand,962126,950048,0.0127
626,Bengbu,China,959784,944465,0.0162
627,Jiangyin,China,959250,933395,0.0277
628,Southampton,United Kingdom,959202,951531,0.0081
629,Villahermosa,Mexico,958118,943530,0.0155
630,Baishan,China,956976,927532,0.0317
631,Nice,France,951808,948149,0.0039
632,Oran,Algeria,950768,935947,0.0158
633,West Rand,South Africa,947734,934341,0.0143
634,Cabinda,Angola,947634,904676,0.0475
635,Umuahia,Nigeria,947460,904139,0.0479
636,Bogra,Bangladesh,944877,905814,0.0431
637,Bahawalpur,Pakistan,944812,919654,0.0274
638,Seongnam,South Korea,942159,941508,0.0007
639,Guntur,India,940205,918324,0.0238
640,Dnipro,Ukraine,936766,941586,-0.0051
641,Campo Grande,Brazil,934936,926095,0.0095
642,Malang,Indonesia,933392,919443,0.0152
643,Londrina,Brazil,932892,922425,0.0113
644,Dandong,China,932648,917936,0.016
645,San Jose,United States,932636,951934,-0.0203
646,Changzhi,China,930620,910743,0.0218
647,Hermosillo,Mexico,929961,915060,0.0163
648,Bhiwandi,India,924670,906581,0.02
649,La Plata,Argentina,923715,914036,0.0106
650,Liverpool,United Kingdom,922871,917032,0.0064
651,Ashgabat,Turkmenistan,921601,902353,0.0213
652,Concepcion,Chile,920916,911862,0.0099
653,Charlotte,United States,920325,909022,0.0124
654,Puducherry,India,919280,897983,0.0237
655,Changde,China,919026,898338,0.023
656,Bergamo,Italy,918675,913376,0.0058
657,Firozabad,India,918218,894388,0.0266
658,Erbil,Iraq,917639,896716,0.0233
659,Tyumen,Russia,916862,903815,0.0144
660,Trujillo,Peru,916632,903896,0.0141
661,Liaoyang,China,916238,900692,0.0173
662,Shangqiu,China,915823,895111,0.0231
663,Ulsan,South Korea,914300,912734,0.0017
664,Tuxtla Gutierrez,Mexico,913075,897694,0.0171
665,Columbus,United States,909676,908823,0.0009
666,Kuerle,China,906765,875496,0.0357
667,Soshanguve,South Africa,905868,892254,0.0153
668,Xingtai,China,904070,886381,0.02
669,Culiacan,Mexico,903910,888620,0.0172
670,Quzhou,China,902621,871457,0.0358
671,Cherthala,India,901820,870465,0.036
672,Huangshi,China,893107,876930,0.0184
673,Fuxin,China,889767,876131,0.0156
674,Lokoja,Nigeria,885882,839046,0.0558
675,Hufuf Mubarraz,Saudi Arabia,884753,872438,0.0141
676,Libreville,Gabon,883920,869773,0.0163
677,Yongzhou,China,883326,860522,0.0265
678,Xinghua,China,882986,861978,0.0244
679,Donetsk,Ukraine,882209,887716,-0.0062
680,Yibin,China,881480,864910,0.0192
681,Enugu,Nigeria,875552,846560,0.0342
682,Tainan,Taiwan,875392,869625,0.0066
683,Indianapolis (balance),United States,874089,877355,-0.0037
684,Xinyang,China,873268,855191,0.0211
685,Ipoh,Malaysia,872424,857225,0.0177
686,Luzhou,China,870714,857683,0.0152
687,Banghazi,Libya,870502,859209,0.0131
688,Maiduguri,Nigeria,870201,844747,0.0301
689,Yangquan,China,869585,851630,0.0211
690,Huaihua,China,869575,843754,0.0306
691,Xiaogan,China,869479,849580,0.0234
692,Tianshui,China,858672,837479,0.0253
693,Bunia,DR Congo,856339,812090,0.0545
694,Bozhou,China,854946,830125,0.0299
695,Kottayam,India,853635,818628,0.0428
696,Zhuji,China,852608,834782,0.0214
697,Kunshan,China,851399,826414,0.0302
698,Quebec City,Canada,851061,844249,0.0081
699,Palermo,Italy,850233,849687,0.0006
700,Winnipeg,Canada,849251,841108,0.0097
701,Orumiyeh,Iran,848443,835900,0.015
702,Eskisehir,Turkey,848002,834065,0.0167
703,Benguela,Angola,843207,809468,0.0417
704,Jincheng,China,841928,818057,0.0292
705,Valencia,Spain,839770,838301,0.0018
706,Heze,China,838928,826777,0.0147
707,Saratov,Russia,837687,838377,-0.0008
708,Nellore,India,837660,816293,0.0262
709,Huludao,China,836344,821132,0.0185
710,Zanzibar,Tanzania,835850,800010,0.0448
711,Barcelona Puerto La Cruz,Venezuela,835805,825581,0.0124
712,Bikaner,India,835802,818566,0.0211
713,Haicheng,China,834639,821192,0.0164
714,Gebze,Turkey,831360,813394,0.0221
715,Taixing,China,830623,811451,0.0236
716,Liaocheng,China,830004,813369,0.0205
717,Zhumadian,China,829361,804537,0.0309
718,Newcastle Upon Tyne,United Kingdom,828712,823431,0.0064
719,Langfang,China,827967,807833,0.0249
720,Bucheon,South Korea,826919,826981,-0.0001
721,Sulaimaniya,Iraq,823199,800793,0.028
722,Xalapa,Mexico,822863,811041,0.0146
723,Malanje,Angola,822471,783243,0.0501
724,Anqiu,China,821765,791931,0.0377
725,Sorocaba,Brazil,821435,813320,0.01
726,Gaomi,China,821154,797964,0.0291
727,Dasmarinas,Philippines,820886,802600,0.0228
728,Cagayan De Oro City,Philippines,820297,803194,0.0213
729,Hanchuan,China,818761,795835,0.0288
730,Meishan,China,818037,796756,0.0267
731,Bologna,Italy,816848,814332,0.0031
732,Ar Rayyan,Qatar,815869,798382,0.0219
733,Thessaloniki,Greece,814980,814524,0.0006
734,Muzaffarnagar,India,814491,791214,0.0294
735,Kayamkulam,India,813379,786192,0.0346
736,Nottingham,United Kingdom,813078,806757,0.0078
737,Nakhon Ratchasima,Thailand,811446,801853,0.012
738,Danyang,China,810450,789755,0.0262
739,Ibb,Yemen,810149,771514,0.0501
740,Amravati,India,808263,792620,0.0197
741,Jiaozuo,China,808079,796509,0.0145
742,Vereeniging,South Africa,802900,793927,0.0113
743,Gorakhpur,India,801634,788276,0.0169
744,Gaza,Palestine,800636,778187,0.0288
745,Frankfurt,Germany,800529,796437,0.0051
746,Anqing,China,795987,779535,0.0211
747,Niigata,Japan,795916,797865,-0.0024
748,Oshogbo,Nigeria,795808,771515,0.0315
749,Linhai,China,795777,776076,0.0254
750,Shaoguan,China,794279,784230,0.0128
751,Erduosi Ordoss,China,794143,774321,0.0256
752,Merca,Somalia,793545,760129,0.044
753,Bur Sa'id,Egypt,792925,778280,0.0188
754,Kitwe,Zambia,792350,762981,0.0385
755,Yan'an,China,791839,767188,0.0321
756,Cuttack,India,789558,775559,0.0181
757,Hamilton,Canada,786843,781047,0.0074
758,Zaria,Nigeria,786197,766007,0.0264
759,Banjarmasin,Indonesia,785125,770959,0.0184
760,Dengzhou,China,783041,759150,0.0315
761,Belgaum,India,783020,767161,0.0207
762,Malegaon,India,781925,764628,0.0226
763,Goma,DR Congo,781875,744247,0.0506
764,Zigong,China,779684,768075,0.0151
765,Qingyuan,China,778628,766782,0.0154
766,Yuncheng,China,777193,754711,0.0298
767,Shaoyang,China,776404,761169,0.02
768,Yanji,China,775672,757224,0.0244
769,Tirupati,India,775455,752744,0.0302
770,Maturin,Venezuela,775097,758185,0.0223
771,Yuxi,China,774356,750102,0.0323
772,Akure,Nigeria,773141,744371,0.0387
773,Tongliao,China,772756,756158,0.022
774,Sialkot,Pakistan,770962,753325,0.0234
775,Tongling,China,770032,752916,0.0227
776,Krakow,Poland,769396,769417,0.0
777,Ansan,South Korea,768822,766703,0.0028
778,Wuzhou,China,768512,751679,0.0224
779,Dazhou,China,767532,748257,0.0258
780,Suining Sichuan,China,765887,750097,0.0211
781,Mangalore,India,763312,749073,0.019
782,Jiamusi,China,761903,749763,0.0162
783,Al Hudaydah,Yemen,759157,734699,0.0333
784,Seattle,United States,757992,753624,0.0058
785,Sargodha,Pakistan,757915,741818,0.0217
786,Nay Pyi Taw,Myanmar,757823,722836,0.0484
787,Tamale,Ghana,757506,729768,0.038
788,Sao Jose Dos Campos,Brazil,757137,749188,0.0106
789,Bacoor,Philippines,757035,739682,0.0235
790,Dongtai,China,756344,738200,0.0246
791,Zhangjiagang,China,755752,733810,0.0299
792,Nanded Waghala,India,755577,738552,0.0231
793,Xianyang Shaanxi,China,754446,743491,0.0147
794,Amara,Iraq,753708,729276,0.0335
795,Zarqa,Jordan,753392,748428,0.0066
796,Bhavnagar,India,751493,737128,0.0195
797,Sheffield,United Kingdom,751303,745876,0.0073
798,Huambo,Angola,751297,727641,0.0325
799,Ribeirao Preto,Brazil,750174,742115,0.0109
800,Panzhihua,China,750036,738495,0.0156
